Gene
1552703_s_at	CARD16///CASP1
1552758_at	HDAC9
1552760_at	HDAC9
1552792_at	SOCS4
1552798_a_at	TLR4
1552887_at	TBATA
1552985_at	SLC30A8
1553380_at	PARP15
1553505_at	A2ML1
1553528_a_at	TAF5
1553587_a_at	POLE4
1553639_a_at	PPARGC1B
1553695_a_at	NLRX1
1554101_a_at	TMTC4
1554102_a_at	TMTC4
1554348_s_at	CDKN2AIPNL
1554411_at	CTNNB1
1554415_at	TAF5L
1554479_a_at	CARD8
1554553_s_at	YIF1B
1554600_s_at	LMNA
1554624_a_at	SIRPB1
1554911_at	ABCC11
1554918_a_at	ABCC4
1555270_a_at	WFS1
1555282_a_at	PPARGC1B
1555407_s_at	FGD3
1555426_a_at	OTUD5
1555464_at	IFIH1
1555519_at	
1555557_a_at	TNK2
1555590_a_at	GATA1
1555626_a_at	SLAMF1
1555627_s_at	LINC01547
1555735_a_at	BAP1
1555900_at	DCTN5
1556057_s_at	NEUROD1
1556646_at	DCTN5
1556996_at	LEPROT
1556997_a_at	LEPROT///LEPR
1557339_at	PIK3CD-AS2
1557341_x_at	PIK3CD-AS2
1557895_at	FLJ35934
1558292_s_at	PIGW
1558331_at	SIRT2
1558397_at	PECAM1
1558631_at	PPARA
1558832_at	SLC2A1-AS1
1559502_s_at	LRRC25
1559561_at	FBXO18
1559638_at	PIK3CD-AS1
1559848_at	NSUN4
1559884_at	CDKN2B-AS1
1559921_at	PECAM1
1560974_s_at	NOS1
1560981_a_at	PPARA
1562694_at	IGF2BP2-AS1
1562832_at	IGF2BP2-AS1
1562960_at	KCNQ1-AS1
1562969_at	DNMBP
1563207_at	IGF2BP2-AS1
1563208_s_at	IGF2BP2-AS1
1563265_at	HNF4A-AS1
1563943_at	PPARGC1B
1564307_a_at	A2ML1
1564310_a_at	PARP15
1564383_s_at	FLJ35934
1564736_a_at	CASP12
1565329_at	POLE4
1565483_at	EGFR
1565484_x_at	EGFR
1565731_at	ALDH3B1
1566342_at	SOD2
1566700_at	VRK3
1566701_at	VRK3
1567359_at	BDNF-AS
1567361_at	BDNF-AS
1569141_a_at	PPARGC1A
1569149_at	PDLIM7
1569150_x_at	PDLIM7
1569859_at	SUCLA2-AS1
1569861_at	TRAF5
1570279_at	ABCA1
200642_at	SOD1
200646_s_at	NUCB1
200649_at	NUCB1
200710_at	ACADVL
200887_s_at	STAT1
200896_x_at	HDGF
200927_s_at	RAB14
200928_s_at	RAB14
200948_at	MLF2
200966_x_at	ALDOA
200969_at	SERP1
200970_s_at	SERP1
200971_s_at	SERP1
200978_at	MDH1
201005_at	CD9
201008_s_at	TXNIP
201009_s_at	TXNIP
201010_s_at	TXNIP
201015_s_at	JUP
201079_at	SYNGR2
201137_s_at	HLA-DPB1
201157_s_at	NMT1
201158_at	NMT1
201159_s_at	NMT1
201203_s_at	RRBP1
201204_s_at	RRBP1
201205_at	RRBP1
201206_s_at	RRBP1
201249_at	SLC2A1
201250_s_at	SLC2A1
201286_at	SDC1
201287_s_at	SDC1
201419_at	BAP1
201469_s_at	SHC1
201533_at	CTNNB1
201596_x_at	KRT18
201666_at	TIMP1
201743_at	CD14
201754_at	COX6C
201861_s_at	LRRFIP1
201862_s_at	LRRFIP1
201983_s_at	EGFR
201984_s_at	EGFR
202017_at	EPHX1
202067_s_at	LDLR
202068_s_at	LDLR
202076_at	BIRC2
202085_at	TJP2
202110_at	COX7B
202377_at	LEPROT
202378_s_at	LEPROT
